slot_id,week,section_id,course_id,faculty,day,start,end,room_number
W4_Thu_S2,4,PRI_A,PRI,Prof. Shweta Jha,Thu,10:45,12:15,Room_2
W4_Thu_S3,4,DRV_B,DRV,Prof. Kamran Kuddus,Thu,12:30,14:00,Room_1
W4_Thu_S3,4,DTI_A,DTI,Prof. Rohit Kumar,Thu,12:30,14:00,Room_2
W4_Thu_S4,4,CB_A,CB,Prof. M. Jyotsna Soni,Thu,14:45,16:15,Room_1
W4_Thu_S4,4,SDM_B,SDM,Prof. Shibashish Chakraborty,Thu,14:45,16:15,Room_2
W4_Thu_S5,4,DT_A,DT,Prof. Arindam Mukherjee,Thu,16:30,18:00,Room_1
W4_Thu_S5,4,PM_B,PM,Prof. Vijaya Dixit,Thu,16:30,18:00,Room_2
W4_Thu_S6,4,CRM_A,CRM,Prof. Ankur Jha,Thu,18:15,19:45,Room_1
W4_Thu_S6,4,DRV_B,DRV,Prof. Kamran Kuddus,Thu,18:15,19:45,Room_2
W4_Tue_S1,4,DRV_A,DRV,Prof. Kamran Kuddus,Tue,09:00,10:30,Room_1
W4_Tue_S1,4,PRI_B,PRI,Prof. Shweta Jha,Tue,09:00,10:30,Room_2
W4_Tue_S2,4,IMKT_B,IMKT,Prof. Dipanjan Kumar Dey,Tue,10:45,12:15,Room_1
W4_Tue_S2,4,PM_A,PM,Prof. Vijaya Dixit,Tue,10:45,12:15,Room_2
W4_Tue_S3,4,IMKT_B,IMKT,Prof. Dipanjan Kumar Dey,Tue,12:30,14:00,Room_1
W4_Tue_S3,4,SDM_A,SDM,Prof. Shibashish Chakraborty,Tue,12:30,14:00,Room_2
W4_Tue_S4,4,CRM_A,CRM,Prof. Ankur Jha,Tue,14:45,16:15,Room_1
W4_Tue_S4,4,FIS_B,FIS,Prof. Prasenjit Chakrabarti,Tue,14:45,16:15,Room_2
W4_Tue_S5,4,IM_A,IM,Prof. Anand,Tue,16:30,18:00,Room_1
W4_Tue_S5,4,SDM_B,SDM,Prof. Shibashish Chakraborty,Tue,16:30,18:00,Room_2
W4_Tue_S6,4,FIS_A,FIS,Prof. Prasenjit Chakrabarti,Tue,18:15,19:45,Room_1
W4_Tue_S6,4,PM_B,PM,Prof. Vijaya Dixit,Tue,18:15,19:45,Room_2
W4_Wed_S1,4,DSMM_A,DSMM,Prof. Subhro Sarkar,Wed,09:00,10:30,Room_1
W4_Wed_S1,4,FIS_B,FIS,Prof. Prasenjit Chakrabarti,Wed,09:00,10:30,Room_2
W4_Wed_S2,4,PRI_B,PRI,Prof. Shweta Jha,Wed,10:45,12:15,Room_1
W4_Wed_S2,4,SCM_A,SCM,Prof. Pritee Ray,Wed,10:45,12:15,Room_2
W4_Wed_S3,4,DTI_B,DTI,Prof. Rohit Kumar,Wed,12:30,14:00,Room_1
W4_Wed_S3,4,PRI_A,PRI,Prof. Shweta Jha,Wed,12:30,14:00,Room_2
W4_Wed_S3,4,REE_A,REE,Prof. Rakhi Singh,Wed,12:30,14:00,Room_3
W4_Wed_S4,4,DRV_A,DRV,Prof. Kamran Kuddus,Wed,14:45,16:15,Room_1
W4_Wed_S4,4,EMPP_A,EMPP,Prof. Rajasekhar David,Wed,14:45,16:15,Room_2
W4_Wed_S4,4,IMKT_B,IMKT,Prof. Dipanjan Kumar Dey,Wed,14:45,16:15,Room_3
W4_Wed_S5,4,DT_B,DT,Prof. Arindam Mukherjee,Wed,16:30,18:00,Room_1
W4_Wed_S5,4,PM_A,PM,Prof. Vijaya Dixit,Wed,16:30,18:00,Room_2
W4_Wed_S6,4,DT_A,DT,Prof. Arindam Mukherjee,Wed,18:15,19:45,Room_1
W4_Wed_S6,4,GMRM_A,GMRM,Prof. Piyali Ghosh,Wed,18:15,19:45,Room_2
W4_Wed_S6,4,PRI_B,PRI,Prof. Shweta Jha,Wed,18:15,19:45,Room_3
W5_Fri_S1,5,SMTI_A,SMTI,Prof. Shiwangi Singh,Fri,09:00,10:30,Room_1
W5_Fri_S2,5,BV_A,BV,Prof. Anand,Fri,10:45,12:15,Room_1
W5_Fri_S2,5,IMC_B,IMC,Prof. T. Sai Vijay,Fri,10:45,12:15,Room_2
W5_Fri_S3,5,DTI_A,DTI,Prof. Rohit Kumar,Fri,12:30,14:00,Room_1
W5_Fri_S3,5,SDM_B,SDM,Prof. Shibashish Chakraborty,Fri,12:30,14:00,Room_2
W5_Fri_S4,5,CRM_A,CRM,Prof. Ankur Jha,Fri,14:45,16:15,Room_1
W5_Fri_S4,5,IMKT_B,IMKT,Prof. Dipanjan Kumar Dey,Fri,14:45,16:15,Room_2
W5_Fri_S5,5,DRV_B,DRV,Prof. Kamran Kuddus,Fri,16:30,18:00,Room_1
W5_Fri_S5,5,PRI_A,PRI,Prof. Shweta Jha,Fri,16:30,18:00,Room_2
W5_Fri_S6,5,CRM_A,CRM,Prof. Ankur Jha,Fri,18:15,19:45,Room_1
W5_Fri_S6,5,CS_B,CS,Prof. Swarup Kumar Dutta,Fri,18:15,19:45,Room_2
W5_Mon_S1,5,DRV_A,DRV,Prof. Kamran Kuddus,Mon,09:00,10:30,Room_1
W5_Mon_S1,5,PM_B,PM,Prof. Vijaya Dixit,Mon,09:00,10:30,Room_2
W5_Mon_S2,5,DSMM_A,DSMM,Prof. Subhro Sarkar,Mon,10:45,12:15,Room_1
W5_Mon_S2,5,DTI_B,DTI,Prof. Rohit Kumar,Mon,10:45,12:15,Room_2
W5_Mon_S3,5,CCS_A,CCS,Prof. Rohit Kumar,Mon,12:30,14:00,Room_1
W5_Mon_S3,5,DRV_B,DRV,Prof. Kamran Kuddus,Mon,12:30,14:00,Room_2
W5_Mon_S4,5,PBM_B,PBM,Prof. Aditya Shankar Mishra,Mon,14:45,16:15,Room_1
W5_Mon_S4,5,PM_A,PM,Prof. Vijaya Dixit,Mon,14:45,16:15,Room_2
W5_Mon_S5,5,BV_A,BV,Prof. Anand,Mon,16:30,18:00,Room_1
W5_Mon_S5,5,IMC_B,IMC,Prof. T. Sai Vijay,Mon,16:30,18:00,Room_2
W5_Mon_S6,5,BMS_A,BMS,Prof. Santosh Kumar Prusty,Mon,18:15,19:45,Room_1
W5_Sat_S1,5,DRV_A,DRV,Prof. Kamran Kuddus,Sat,09:00,10:30,Room_1
W5_Sat_S1,5,EMPP_B,EMPP,Prof. Rajasekhar David,Sat,09:00,10:30,Room_2
W5_Sat_S1,5,IM_B,IM,Prof. Anand,Sat,09:00,10:30,Room_3
W5_Sat_S2,5,DWDV_A,DWDV,Prof. Anupriya Khan,Sat,10:45,12:15,Room_1
W5_Sat_S2,5,EMPP_A,EMPP,Prof. Rajasekhar David,Sat,10:45,12:15,Room_2
W5_Sat_S2,5,ODC_B,ODC,Prof. Viraj Varma,Sat,10:45,12:15,Room_3
W5_Sat_S3,5,BMS_A,BMS,Prof. Santosh Kumar Prusty,Sat,12:30,14:00,Room_1
W5_Sat_S4,5,CB_A,CB,Prof. M. Jyotsna Soni,Sat,14:45,16:15,Room_1
W5_Sat_S4,5,DTI_B,DTI,Prof. Rohit Kumar,Sat,14:45,16:15,Room_2
