course_id,student_id
CRM,M151-24
CRM,M163-24
CRM,M164-24
CRM,M176-24
CRM,M195-24
CRM,M208-23
CRM,M213-24
CRM,M219-24
CRM,M223-24
CRM,M237-24
CRM,M238-24
CRM,M241-24
CRM,M249-24
CRM,M250-24
CRM,M251-23
CRM,M260-24
CRM,M264-24
CRM,M270-24
CRM,BA006-24
CRM,BA009-24
CRM,BA032-24
CRM,BA048-24
CRM,BA054-24
CRM,IPM008-21
CRM,IPM009-21
CRM,IPM022-21
CRM,IPM032-21
CRM,IPM037-21
CRM,IPM045-21
CRM,IPM051-21
CRM,IPM063-21
CRM,IPM067-21
CRM,IPM077-21
CRM,IPM094-21
CRM,IPM107-21
CRM,M010-23
CRM,M010-24
CRM,M016-24
CRM,M017-24
CRM,M019-24
CRM,M030-24
CRM,M031-24
CRM,M033-24
CRM,M034-23
CRM,M041-24
CRM,M048-24
CRM,M053-24
CRM,M055-24
CRM,M057-24
CRM,M073-24
CRM,M076-24
CRM,M089-24
CRM,M099-24
CRM,M101-24
CRM,M111-24
CRM,M112-24
CRM,M113-24
CRM,M122-24
CRM,M125-23
CRM,M125-24
CRM,M129-24
CRM,M132-24
CRM,M133-24
CRM,M155-24
CRM,M165-24
CRM,M168-24
CRM,M170-24
CRM,M178-24
CRM,M186-23
CRM,M188-24
CRM,M190-24
CRM,M200-23
CRM,M204-24
CRM,M216-24
CRM,M217-24
CRM,M231-24
CRM,M234-24
CRM,M240-24
CRM,M242-24
CRM,M243-24
CRM,M244-23
CRM,M262-24
CRM,M263-24
CRM,M269-24
DSMM,BA050-24
DSMM,IPM020-21
DSMM,IPM023-21
DSMM,IPM051-21
DSMM,IPM057-21
DSMM,IPM063-21
DSMM,IPM070-21
DSMM,IPM079-21
DSMM,IPM081-21
DSMM,IPM094-21
DSMM,IPM097-21
DSMM,IPM099-21
DSMM,IPM105-21
DSMM,IPM110-21
DSMM,M010-23
DSMM,M013-24
DSMM,M015-24
DSMM,M016-24
DSMM,M018-24
DSMM,M023-24
DSMM,M029-24
DSMM,M031-24
DSMM,M039-24
DSMM,M040-23
DSMM,M040-24
DSMM,M044-24
DSMM,M049-24
DSMM,M053-24
DSMM,M066-24
DSMM,M082-24
DSMM,M099-23
DSMM,M112-24
DSMM,M115-24
DSMM,M123-24
DSMM,M129-24
DSMM,M133-24
DSMM,M135-24
DSMM,M136-24
DSMM,M144-24
DSMM,M151-24
DSMM,M163-24
DSMM,M169-24
DSMM,M180-24
DSMM,M182-24
DSMM,M186-23
DSMM,M192-24
DSMM,M210-24
DSMM,M211-24
DSMM,M231-24
DSMM,M244-23
DSMM,M251-23
DSMM,M258-24
DSMM,M260-24
DSMM,M263-24
DSMM,BA004-23
DSMM,BA009-24
DSMM,BA017-24
DSMM,BA023-24
DSMM,BA024-24
DSMM,BA031-24
DSMM,BA032-24
DSMM,BA035-24
DSMM,BA042-24
DSMM,H042-24
DSMM,H052-24
DSMM,IPM002-21
DSMM,IPM003-21
DSMM,IPM006-21
DSMM,IPM008-21
DSMM,IPM009-21
DSMM,IPM034-21
DSMM,IPM037-21
DSMM,IPM041-21
DSMM,IPM050-21
DSMM,IPM052-21
DSMM,IPM053-21
DSMM,IPM056-21
DSMM,IPM058-21
DSMM,IPM062-21
DSMM,IPM077-21
DSMM,IPM078-21
DSMM,IPM100-21
DSMM,IPM102-21
DSMM,IPM117-21
DSMM,IPM122-21
DSMM,IPM123-21
DSMM,M004-24
DSMM,M020-24
DSMM,M025-24
DSMM,M035-24
DSMM,M042-24
DSMM,M043-24
DSMM,M046-24
DSMM,M051-24
DSMM,M063-24
DSMM,M070-24
DSMM,M075-24
DSMM,M084-24
DSMM,M089-24
DSMM,M096-24
DSMM,M099-24
DSMM,M103-24
DSMM,M105-23
DSMM,M106-24
DSMM,M114-24
DSMM,M124-24
DSMM,M125-23
DSMM,M127-24
DSMM,M128-24
DSMM,M134-24
DSMM,M147-24
DSMM,M149-23
DSMM,M149-24
DSMM,M150-24
DSMM,M153-24
DSMM,M170-24
DSMM,M171-24
DSMM,M189-24
DSMM,M190-24
DSMM,M191-24
DSMM,M194-24
DSMM,M198-24
DSMM,M199-24
DSMM,M200-24
DSMM,M209-24
DSMM,M213-24
DSMM,M216-24
DSMM,M219-24
DSMM,M220-24
DSMM,M221-24
DSMM,M226-24
DSMM,M228-24
DSMM,M238-24
DSMM,M239-24
DSMM,M242-24
DSMM,M247-24
DSMM,M256-24
DSMM,M261-24
DSMM,M264-24
DSMM,M265-24
IMC,BA019-24
IMC,BA046-24
IMC,BA050-24
IMC,H026-24
IMC,IPM005-21
IMC,IPM008-21
IMC,IPM011-21
IMC,IPM023-21
IMC,IPM043-21
IMC,IPM045-21
IMC,IPM050-21
IMC,IPM054-21
IMC,IPM063-21
IMC,IPM067-21
IMC,IPM071-21
IMC,IPM080-21
IMC,IPM099-21
IMC,IPM102-21
IMC,IPM110-21
IMC,IPM116-21
IMC,M003-24
IMC,M011-24
IMC,M016-24
IMC,M017-24
IMC,M019-24
IMC,M022-24
IMC,M034-23
IMC,M034-24
IMC,M042-24
IMC,M045-24
IMC,M046-24
IMC,M049-23
IMC,M051-24
IMC,M057-24
IMC,M067-24
IMC,M069-24
IMC,M070-24
IMC,M071-24
IMC,M072-24
IMC,M073-24
IMC,M075-24
IMC,M095-24
IMC,M097-24
